environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 2
	mate_indpb: 0.3
	mutation_Gaussian_sigma_1: 0.1
	mutation_Gaussian_sigma_2: 0.0
	mutation_Gaussian_indpb_1: 1.0
	mutation_Gaussian_indpb_2: 1.0
	elitist_ratio: 0.0
	tournsize: 3
	mu: 0.2
	lambda_: 1.0
	mutpb: 0.5
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 10
	delta_t: 0.1
	normalize_input: True
	normalize_input_target: 5
	optimize_state_boundaries: per_neuron
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: False
	w_mask: logarithmic
	w_mask_param: 8
	v_mask: logarithmic
	v_mask_param: 2
	t_mask: logarithmic
	t_mask_param: 1.5
	parameter_perturbations: 0.0
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 270
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -106.25         4.10            -115.89         -100.97         
1       120         -104.15         3.32            -112.84         -100.55         
2       120         -103.67         2.21            -108.37         -100.80         
3       120         -103.34         2.83            -108.56         -99.06          
4       120         -101.34         3.01            -104.90         -89.84          
5       120         -101.83         1.52            -104.92         -99.83          
6       120         -101.12         1.35            -103.78         -98.27          
7       120         -100.68         1.53            -103.98         -98.05          
8       120         -100.34         1.49            -103.10         -98.15          
9       120         -100.78         2.70            -111.27         -97.99          
10      120         -100.21         1.15            -102.05         -98.16          
11      120         -99.37          1.05            -101.07         -97.92          
12      120         -98.88          1.17            -100.82         -95.51          
13      120         -98.68          0.91            -100.03         -96.87          
14      120         -98.20          1.28            -100.75         -95.98          
15      120         -97.88          1.90            -101.87         -94.53          
16      120         -97.52          2.91            -105.69         -92.25          
17      120         -97.60          3.32            -103.09         -92.30          
18      120         -96.71          2.64            -102.90         -92.32          
19      120         -96.94          2.95            -106.09         -93.35          
20      120         -97.31          3.53            -109.30         -93.41          
21      120         -95.12          2.00            -99.42          -92.88          
22      120         -95.69          2.66            -101.34         -92.49          
23      120         -95.22          2.34            -99.77          -90.83          
24      120         -94.38          1.05            -96.07          -92.53          
25      120         -93.90          1.23            -96.16          -91.78          
26      120         -93.36          1.29            -95.71          -90.84          
27      120         -92.97          1.09            -96.28          -91.29          
28      120         -94.05          1.28            -96.58          -91.68          
29      120         -94.41          2.68            -101.79         -91.46          
30      120         -94.38          1.72            -99.90          -91.47          
31      120         -93.46          2.01            -101.11         -91.55          
32      120         -92.81          1.16            -95.03          -90.55          
33      120         -93.28          1.74            -96.39          -91.11          
34      120         -92.32          0.75            -93.65          -90.80          
35      120         -93.09          0.96            -96.22          -91.96          
36      120         -93.66          1.69            -96.50          -89.53          
37      120         -92.33          1.11            -94.50          -89.09          
38      120         -93.18          1.44            -95.55          -90.50          
39      120         -92.45          1.83            -94.89          -86.66          
40      120         -92.71          1.26            -95.19          -90.64          
41      120         -94.34          3.71            -108.31         -89.42          
42      120         -92.92          2.54            -101.06         -89.15          
43      120         -92.21          1.54            -97.35          -90.14          
44      120         -93.40          1.97            -97.24          -90.67          
45      120         -92.37          1.58            -96.44          -89.47          
46      120         -92.61          1.72            -97.30          -90.64          
47      120         -93.70          1.62            -96.19          -91.00          
48      120         -92.15          1.55            -95.64          -89.94          
49      120         -93.61          1.55            -95.85          -91.39          
50      120         -92.77          1.22            -95.37          -90.85          

Time elapsed: 73.5541 seconds
