environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 5
	mate_indpb: 0.3
	mutation_Gaussian_sigma_1: 0.001
	mutation_Gaussian_sigma_2: 0.0
	mutation_Gaussian_indpb_1: 0.1
	mutation_Gaussian_indpb_2: 0.1
	elitist_ratio: 0.2
	tournsize: 3
	mu: 0.3
	lambda_: 1.0
	mutpb: 0.5
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 5
	delta_t: 0.1
	normalize_input: False
	normalize_input_target: 10
	optimize_state_boundaries: per_neuron
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: False
	w_mask: logarithmic
	w_mask_param: 8
	v_mask: logarithmic
	v_mask_param: 8
	t_mask: logarithmic
	t_mask_param: 8
	parameter_perturbations: 0.01
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 122
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -108.91         4.28            -115.73         -100.81         
1       130         -106.93         4.11            -115.37         -100.42         
2       130         -104.61         3.13            -112.10         -100.35         
3       130         -102.19         1.70            -104.98         -100.26         
4       130         -100.64         0.57            -103.55         -100.27         
5       130         -100.46         0.21            -101.47         -100.28         
6       130         -100.42         0.12            -100.77         -100.18         
7       130         -100.39         0.10            -100.68         -100.17         
8       130         -100.52         0.31            -101.92         -100.19         
9       130         -100.41         0.12            -100.70         -100.20         
10      130         -100.43         0.16            -100.87         -100.24         
11      130         -100.45         0.09            -100.59         -100.25         
12      130         -100.40         0.09            -100.55         -100.20         
13      130         -100.46         0.15            -101.07         -100.26         
14      130         -100.51         0.27            -101.84         -100.29         
15      130         -100.53         0.27            -101.84         -100.30         
16      130         -100.45         0.19            -101.23         -100.18         
17      130         -100.51         0.24            -101.50         -100.29         
18      130         -100.42         0.08            -100.57         -100.27         
19      130         -100.44         0.11            -100.68         -100.24         
20      130         -100.48         0.16            -101.14         -100.26         
21      130         -100.43         0.12            -100.68         -100.19         
22      130         -100.45         0.09            -100.73         -100.31         
23      130         -100.44         0.10            -100.71         -100.27         
24      130         -100.45         0.14            -101.06         -100.19         
25      130         -100.45         0.12            -100.70         -100.29         
26      130         -100.42         0.12            -100.72         -100.26         
27      130         -100.47         0.15            -101.04         -100.18         
28      130         -100.46         0.10            -100.78         -100.26         
29      130         -100.44         0.13            -100.71         -100.21         
30      130         -100.50         0.29            -101.93         -100.16         
31      130         -100.47         0.24            -101.33         -100.18         
32      130         -100.43         0.09            -100.57         -100.21         
33      130         -100.43         0.14            -100.74         -100.17         
34      130         -100.45         0.27            -101.64         -100.18         
35      130         -100.44         0.08            -100.66         -100.35         
36      130         -100.55         0.31            -101.54         -100.28         
37      130         -100.43         0.11            -100.86         -100.26         
38      130         -100.47         0.10            -100.76         -100.28         
39      130         -100.46         0.13            -100.89         -100.24         
40      130         -100.41         0.09            -100.57         -100.28         
41      130         -100.50         0.22            -101.41         -100.21         
42      130         -100.47         0.15            -101.14         -100.31         
43      130         -100.46         0.23            -101.52         -100.15         
44      130         -100.45         0.20            -101.34         -100.24         
45      130         -100.42         0.12            -100.63         -100.20         
46      130         -100.44         0.11            -100.85         -100.22         
47      130         -100.46         0.14            -100.84         -100.29         
48      130         -100.49         0.22            -101.53         -100.27         
49      130         -100.48         0.32            -101.72         -100.30         
50      130         -100.41         0.17            -100.86         -100.22         

Time elapsed: 50.5423 seconds
