environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 2
	mate_indpb: 0.5
	mutation_Gaussian_sigma_1: 0.1
	mutation_Gaussian_sigma_2: 0.001
	mutation_Gaussian_indpb_1: 0.01
	mutation_Gaussian_indpb_2: 0.01
	elitist_ratio: 0.2
	tournsize: 5
	mu: 0.2
	lambda_: 1.0
	mutpb: 0.5
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 5
	delta_t: 0.5
	normalize_input: False
	normalize_input_target: 5
	optimize_state_boundaries: per_neuron
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: False
	w_mask: logarithmic
	w_mask_param: 8
	v_mask: logarithmic
	v_mask_param: 8
	t_mask: logarithmic
	t_mask_param: 1.5
	parameter_perturbations: 0.01
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 132
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -105.76         3.70            -112.40         -100.85         
1       120         -102.55         1.68            -105.36         -100.24         
2       120         -101.47         1.22            -103.79         -100.07         
3       120         -100.73         0.59            -102.40         -99.70          
4       120         -100.16         0.37            -100.94         -99.54          
5       120         -99.86          0.20            -100.28         -99.61          
6       120         -99.71          0.28            -100.18         -99.23          
7       120         -99.81          0.34            -100.72         -99.28          
8       120         -99.58          0.26            -100.25         -99.13          
9       120         -99.66          0.18            -100.16         -99.32          
10      120         -99.64          0.31            -100.21         -99.06          
11      120         -99.58          0.11            -99.84          -99.35          
12      120         -99.53          0.26            -100.18         -98.95          
13      120         -99.55          0.18            -100.05         -99.26          
14      120         -99.62          0.25            -100.22         -99.36          
15      120         -99.49          0.26            -100.16         -99.19          
16      120         -99.54          0.25            -100.25         -99.30          
17      120         -99.45          0.23            -100.15         -99.18          
18      120         -99.37          0.12            -99.68          -99.24          
19      120         -99.38          0.10            -99.66          -99.27          
20      120         -99.37          0.17            -100.09         -99.23          
21      120         -99.37          0.13            -99.79          -99.12          
22      120         -99.32          0.05            -99.40          -99.23          
23      120         -99.33          0.05            -99.44          -99.24          
24      120         -99.34          0.09            -99.63          -99.16          
25      120         -99.40          0.21            -100.18         -99.12          
26      120         -99.33          0.12            -99.67          -99.16          
27      120         -99.40          0.22            -100.13         -99.17          
28      120         -99.36          0.12            -99.71          -99.23          
29      120         -99.35          0.07            -99.54          -99.19          
30      120         -99.39          0.18            -99.95          -99.18          
31      120         -99.38          0.12            -99.70          -99.18          
32      120         -99.31          0.10            -99.64          -99.17          
33      120         -99.31          0.04            -99.38          -99.22          
34      120         -99.35          0.06            -99.56          -99.27          
35      120         -99.31          0.05            -99.45          -99.24          
36      120         -99.35          0.13            -99.77          -99.18          
37      120         -99.32          0.12            -99.56          -99.12          
38      120         -99.39          0.23            -100.34         -99.27          
39      120         -99.40          0.19            -100.13         -99.16          
40      120         -99.33          0.15            -99.85          -99.19          
41      120         -99.38          0.28            -100.47         -99.14          
42      120         -99.43          0.40            -100.98         -99.15          
43      120         -99.40          0.18            -99.95          -99.23          
44      120         -99.34          0.24            -100.29         -99.14          
45      120         -99.39          0.30            -100.64         -99.26          
46      120         -99.34          0.22            -100.12         -99.15          
47      120         -99.37          0.19            -100.12         -99.25          
48      120         -99.36          0.10            -99.64          -99.21          
49      120         -99.34          0.11            -99.66          -99.17          
50      120         -99.31          0.10            -99.62          -99.15          

Time elapsed: 45.8587 seconds
