environment: BipedalWalker-v3
random_seed: 0
number_generations: 50
optimizer
	type: MU_ES
	population_size: 100
	checkpoint_frequency: 0
	initial_gene_range: 0.5
	mate_indpb: 0.3
	mutation_Gaussian_sigma_1: 0.1
	mutation_Gaussian_sigma_2: 0.0
	mutation_Gaussian_indpb_1: 1.0
	mutation_Gaussian_indpb_2: 0.1
	elitist_ratio: 0.2
	tournsize: 5
	mu: 0.5
	lambda_: 1.0
	mutpb: 0.5
	include_parents_in_next_generation: True
brain
	type: CTRNN
	number_neurons: 5
	delta_t: 1.0
	normalize_input: False
	normalize_input_target: 1
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 2
	v_mask: logarithmic
	v_mask_param: 2
	t_mask: logarithmic
	t_mask_param: 1.5
	parameter_perturbations: 0.01
episode_runner
	keep_env_seed_fixed_during_generation: False
	number_fitness_runs: 1
	reuse_env: True

Genome Size: 149
Inputs: Box(24,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       200         -94.60          2.77            -101.99         -91.51          
1       150         -89.91          13.47           -95.19          -22.41          
2       150         -89.36          12.93           -92.67          -26.02          
3       150         -91.71          0.28            -92.31          -90.55          
4       150         -91.44          0.28            -91.91          -90.53          
5       150         -91.21          0.25            -91.70          -90.31          
6       150         -91.35          0.29            -91.62          -90.48          
7       150         -88.35          13.65           -91.94          -21.50          
8       150         -90.94          0.34            -91.60          -90.34          
9       150         -90.47          0.46            -91.68          -89.39          
10      150         -90.23          0.38            -91.01          -88.93          
11      150         -90.13          0.72            -91.76          -88.52          
12      150         -89.37          1.31            -90.94          -87.00          
13      150         -86.55          10.13           -92.61          -16.46          
14      150         -80.31          21.26           -90.75          -15.76          
15      150         -83.35          16.42           -91.97          -17.98          
16      150         -78.95          22.38           -90.51          -16.02          
17      150         -72.79          28.02           -88.29          -12.23          
18      150         -66.02          31.57           -89.86          -16.03          
19      150         -57.96          34.45           -92.21          -16.27          
20      150         -57.70          34.37           -95.37          -15.57          
21      150         -50.87          34.90           -93.23          -8.16           
22      150         -33.70          30.17           -91.57          -8.11           
23      150         -24.03          21.90           -94.52          -15.60          
24      150         -28.78          27.61           -94.05          -11.84          
25      150         -20.46          18.10           -91.91          -10.85          
26      150         -25.62          24.83           -94.31          -15.38          
27      150         -29.77          29.67           -94.19          -12.16          
28      150         -19.56          15.03           -93.49          -14.96          
29      150         -30.26          29.63           -94.55          -15.20          
30      150         -16.07          1.75            -23.84          -12.79          
31      150         -23.12          23.58           -95.58          -12.26          
32      150         -15.96          0.46            -17.03          -15.05          
33      150         -24.07          24.70           -105.84         -13.89          
34      150         -16.97          10.76           -91.83          -12.62          
35      150         -18.10          15.50           -94.06          -13.82          
36      150         -16.88          10.86           -92.18          -10.97          
37      150         -14.87          0.91            -19.47          -13.87          
38      150         -19.58          19.72           -105.01         -13.79          
39      150         -16.20          10.87           -92.17          -13.39          
40      150         -27.32          28.93           -101.29         -13.11          
41      150         -20.76          21.14           -92.81          -13.79          
42      150         -24.16          25.48           -95.16          -13.39          
43      150         -17.76          15.24           -92.56          -13.53          
44      150         -35.57          34.43           -94.97          -13.55          
45      150         -27.30          28.34           -93.01          -14.15          
46      150         -17.76          15.36           -94.10          -14.14          
47      150         -20.98          21.35           -94.66          -12.92          
48      150         -19.24          18.55           -92.98          -13.41          
49      150         -34.21          33.52           -96.20          -12.94          
50      150         -27.92          29.14           -102.53         -14.31          

Time elapsed: 333.5652 seconds
