environment: LunarLander-v2
random_seed: 0
number_generations: 50
use_worker_processes: True
optimizer
	type: MU_ES
	hof_size: 10
	checkpoint_frequency: 0
	initial_gene_range: 2
	mate_indpb: 0.3
	mutation_Gaussian_sigma_1: 1.0
	mutation_Gaussian_sigma_2: 1.0
	mutation_Gaussian_indpb_1: 0.1
	mutation_Gaussian_indpb_2: 0.01
	elitist_ratio: 0.0
	tournsize: 5
	mu: 5
	mu_mixed: 5
	mu_mixed_base: 30
	mu_novel: 10
	extra_from_hof: 0
	lambda_: 250
	mutpb: 0.5
	include_parents_in_next_generation: True
	keep_seeds_fixed_during_generation: True
	mutation_learned: True
	distance: NCD
	max_recorded_behaviors: 10
brain
	type: CTRNN
	number_neurons: 5
	delta_t: 0.25
	normalize_input: False
	normalize_input_target: 5
	optimize_state_boundaries: legacy
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 2
	v_mask: logarithmic
	v_mask_param: 2
	t_mask: logarithmic
	t_mask_param: 2
	parameter_perturbations: 0.0
episode_runner
	keep_env_seed_fixed_during_generation: True
	number_fitness_runs: 1
	reuse_env: True
	behavioral_interval: 1
	behavioral_max_length: 3000

Genome Size: 89
Inputs: Box(8,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       270         -266.83         180.67          -643.10         -59.13          
1       270         -315.31         137.13          -647.22         -160.89         
2       270         -329.87         308.07          -1151.94        -7.62           
3       270         -160.65         149.89          -495.26         -0.23           
4       270         -225.65         151.10          -535.95         -74.56          
5       270         -211.30         97.54           -375.72         -67.12          
6       270         -722.03         2458.72         -11393.11       38.04           
7       270         -328.06         439.74          -1979.13        185.06          
8       270         -429.50         405.82          -1217.91        -17.56          
9       270         -214.63         243.21          -708.29         29.98           
10      270         -336.03         664.99          -2942.63        -21.74          
11      270         -601.28         762.18          -1953.05        11.14           
12      270         -198.61         206.80          -770.00         -4.06           
13      270         -290.37         476.33          -2023.43        37.16           
14      270         -142.94         291.51          -1073.29        283.08          
15      270         -63.11          144.28          -606.91         66.09           
16      270         -151.74         129.73          -457.14         -50.70          
17      270         -138.44         132.20          -531.46         10.89           
18      270         -149.27         143.59          -498.27         181.23          
19      270         4.86            140.61          -249.73         247.82          
20      270         7.15            254.58          -729.48         237.52          
21      270         -85.34          192.00          -628.32         203.23          
22      270         -50.31          190.25          -574.62         207.19          
23      270         -36.60          174.29          -539.31         162.28          
24      270         97.35           127.04          -57.60          260.16          
25      270         130.10          88.23           -93.06          226.90          
26      270         -117.79         203.85          -776.92         162.15          
27      270         -50.14          173.78          -470.79         239.79          
28      270         168.09          72.54           -2.11           251.12          
29      270         -42.14          158.24          -512.80         209.61          
30      270         -24.45          225.16          -640.00         239.35          
31      270         105.64          127.14          -147.49         245.85          
32      270         -389.96         683.58          -1987.04        136.16          
33      270         -614.08         1376.10         -5333.38        107.47          
34      270         -270.59         723.20          -3329.90        112.03          
35      270         -416.25         882.47          -3375.26        138.06          
36      270         -26.19          115.15          -351.94         190.97          
37      270         15.50           369.52          -1276.87        236.23          
38      270         -407.51         768.02          -2798.95        229.65          
39      270         -751.67         1527.42         -6632.06        84.11           
40      270         -850.47         1667.04         -6858.45        221.69          
41      270         -824.39         1799.38         -6010.18        167.60          
42      270         31.56           178.99          -301.82         208.68          
43      270         -205.38         702.96          -3226.27        166.51          
44      270         -111.31         470.39          -2074.82        224.95          
45      270         -118.88         538.39          -2387.47        207.29          
46      270         -41.94          415.71          -1702.46        244.07          
47      270         128.85          233.45          -833.28         293.28          
48      270         150.63          163.49          -486.33         272.72          
49      270         -388.13         874.25          -3531.25        180.80          
50      270         -425.97         1381.83         -6038.21        215.77          

Time elapsed: 949.3035 seconds
