environment: LunarLander-v2
random_seed: 0
number_generations: 50
use_worker_processes: True
optimizer
	type: MU_ES
	hof_size: 10
	checkpoint_frequency: 0
	initial_gene_range: 2
	mate_indpb: 0.3
	mutation_Gaussian_sigma_1: 0.1
	mutation_Gaussian_sigma_2: 0.0
	mutation_Gaussian_indpb_1: 0.01
	mutation_Gaussian_indpb_2: 0.1
	elitist_ratio: 0.2
	tournsize: 5
	mu: 0
	mu_mixed: 5
	mu_mixed_base: 15
	mu_novel: 10
	extra_from_hof: 1
	lambda_: 250
	mutpb: 0.5
	include_parents_in_next_generation: True
	keep_seeds_fixed_during_generation: True
	mutation_learned: True
	distance: NCD
	max_recorded_behaviors: 10
brain
	type: CTRNN
	number_neurons: 10
	delta_t: 0.25
	normalize_input: True
	normalize_input_target: 5
	optimize_state_boundaries: per_neuron
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: False
	set_principle_diagonal_elements_of_W_negative: True
	w_mask: logarithmic
	w_mask_param: 2
	v_mask: logarithmic
	v_mask_param: 2
	t_mask: logarithmic
	t_mask_param: 2
	parameter_perturbations: 0.001
episode_runner
	keep_env_seed_fixed_during_generation: True
	number_fitness_runs: 3
	reuse_env: True
	behavioral_interval: 1
	behavioral_max_length: 3000

Genome Size: 190
Inputs: Box(8,)
Outputs: 4

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       265         -362.61         167.35          -797.56         -188.53         
1       265         -387.65         184.63          -647.76         -139.98         
2       265         -319.91         165.09          -630.93         -99.85          
3       265         -341.64         153.82          -681.89         -153.36         
4       265         -251.05         147.08          -588.11         -91.57          
5       265         -267.42         176.94          -548.24         -64.56          
6       265         -261.48         145.93          -654.15         -114.96         
7       265         -201.08         111.08          -436.80         -61.63          
8       265         -255.69         78.52           -376.65         -165.67         
9       265         -229.98         69.75           -334.70         -142.72         
10      265         -264.06         94.31           -511.28         -169.63         
11      265         -241.82         86.36           -442.19         -97.08          
12      265         -241.53         84.31           -395.17         -131.48         
13      265         -171.17         61.14           -303.66         -58.40          
14      265         -216.83         79.98           -335.83         -124.90         
15      265         -226.22         97.21           -395.99         -112.58         
16      265         -201.40         72.15           -344.91         -107.12         
17      265         -232.70         76.41           -423.67         -78.22          
18      265         -246.64         125.37          -432.18         -73.08          
19      265         -293.29         59.42           -406.57         -175.54         
20      265         -271.25         94.77           -368.23         -94.06          
21      265         -244.08         128.79          -429.07         -103.02         
22      265         -206.78         105.69          -419.26         -101.91         
23      265         -243.44         73.01           -383.85         -127.63         
24      265         -241.80         71.55           -384.53         -129.88         
25      265         -289.53         81.80           -446.68         -178.54         
26      265         -238.09         121.57          -597.11         -89.97          
27      265         -258.00         76.89           -444.02         -126.70         
28      265         -147.26         53.41           -281.91         -89.84          
29      265         -216.46         50.49           -351.18         -170.40         
30      265         -170.48         87.92           -350.04         -82.17          
31      265         -224.72         46.34           -356.12         -176.32         
32      265         -264.70         51.25           -387.49         -210.57         
33      265         -168.33         65.21           -305.95         -53.03          
34      265         -141.39         45.83           -237.53         -90.46          
35      265         -232.41         51.93           -361.68         -166.98         
36      265         -204.78         66.75           -301.52         -87.20          
37      265         -179.42         51.67           -259.99         -75.65          
38      265         -148.08         62.53           -282.75         -65.97          
39      265         -193.10         60.51           -305.01         -115.50         
40      265         -202.57         84.00           -405.38         -74.34          
41      265         -203.32         55.83           -277.59         -64.32          
42      265         -168.99         49.13           -230.26         -83.30          
43      265         -144.67         39.59           -213.07         -94.04          
44      265         -169.64         52.11           -318.49         -120.65         
45      265         -133.37         45.85           -264.82         -89.30          
46      265         -203.34         50.09           -295.14         -144.39         
47      265         -181.52         81.14           -339.61         -69.59          
48      265         -132.61         53.18           -197.19         -36.92          
49      265         -144.76         36.04           -203.77         -90.50          
50      265         -214.90         45.51           -291.54         -141.76         

Time elapsed: 1979.1158 seconds
