environment: Reverse-v0
random_seed: 0
number_generations: 1000
use_worker_processes: True
optimizer
	type: MU_ES
	hof_size: 10
	checkpoint_frequency: 10
	initial_gene_range: 2
	mate_indpb: 0.3
	mutation_learned: True
	mutation_Gaussian_sigma_1: 0.5
	mutation_Gaussian_sigma_2: 2.0
	mutation_Gaussian_indpb_1: 0.1
	mutation_Gaussian_indpb_2: 0.007
	elitist_ratio: 0.0
	tournsize: 20
	mu: 20
	mu_mixed: 0
	mu_mixed_base: 0
	mu_novel: 5
	extra_from_hof: 2
	lambda_: 300
	mutpb: 0.8
	include_parents_in_next_generation: True
	keep_seeds_fixed_during_generation: True
	distance: equal
	max_recorded_behaviors: 20
	recorded_behaviors_per_generation: 5
	novelty_nearest_k: 5
brain
	type: CTRNN
	number_neurons: 20
	neuron_activation: relu
	neuron_activation_inplace: False
	delta_t: 0.5
	normalize_input: False
	normalize_input_target: 3
	optimize_state_boundaries: global
	clipping_range_max: 1.0
	clipping_range_min: -1.0
	optimize_y0: True
	set_principle_diagonal_elements_of_W_negative: True
	v_mask: logarithmic
	v_mask_param: 2
	w_mask: logarithmic
	w_mask_param: 2
	t_mask: logarithmic
	t_mask_param: 2
	parameter_perturbations: 0.001
episode_runner
	keep_env_seed_fixed_during_generation: True
	number_fitness_runs: 5
	max_steps_per_run: 0
	max_steps_penalty: 0
	reuse_env: True
	behavioral_interval: 1
	behavioral_max_length: 300
	behavior_from_observation: True

Genome Size: 302
Inputs: Discrete(3)
Outputs: Tuple(Discrete(2), Discrete(2), Discrete(2))

--------------------------------------------------------------------------------
gen     nevals      avg             std             min             max             
--------------------------------------------------------------------------------
0       330         -1.48           2.86            -10.80          0.40            
1       335         -1.78           4.32            -13.20          0.30            
2       340         -1.93           4.96            -13.20          0.70            
3       345         -0.97           5.01            -12.00          1.70            
4       350         0.27            2.23            -10.60          0.80            
5       350         0.74            0.76            -2.20           1.50            
6       350         0.90            0.37            -0.40           1.30            
7       350         1.18            0.37            -0.20           1.60            
8       350         0.94            0.38            -0.70           1.10            
9       350         0.58            1.60            -5.70           1.70            
10      350         0.45            2.68            -12.00          1.70            
11      350         -1.36           4.39            -12.60          0.70            
12      350         -1.23           5.51            -13.80          1.30            
13      350         -0.94           4.22            -10.80          1.60            
14      350         -1.12           4.50            -10.80          1.30            
15      350         -1.62           3.75            -11.40          0.30            
16      350         0.28            2.16            -9.80           0.90            
17      350         0.80            0.49            -0.20           1.10            
18      350         0.65            0.39            -0.60           1.10            
19      350         0.48            1.44            -6.10           1.40            
20      350         0.45            2.83            -7.30           1.70            
21      350         0.01            2.59            -7.40           1.20            
22      350         -0.64           3.11            -7.50           0.90            
23      350         -0.03           2.13            -5.60           0.90            
24      350         -0.98           2.90            -7.30           0.80            
25      350         0.71            2.17            -5.70           1.90            
26      350         -0.10           1.42            -6.90           1.10            
27      350         0.15            1.53            -4.60           1.20            
28      350         -0.46           2.11            -5.90           1.60            
29      350         1.71            1.20            -3.10           2.30            
30      350         -1.32           3.12            -8.60           0.90            
31      350         0.78            0.48            -0.40           1.40            
32      350         1.05            0.94            -2.50           1.50            
33      350         1.12            0.22            0.60            1.30            
34      350         1.40            0.78            -0.30           1.90            
35      350         1.68            0.28            0.60            1.80            
36      350         1.24            0.18            0.70            1.30            
37      350         0.56            0.64            -1.60           1.20            
38      350         0.99            0.47            -0.50           1.20            
39      350         0.94            0.24            0.10            1.20            
40      350         0.91            0.44            -0.60           1.10            
41      350         1.25            0.81            -2.20           1.70            
42      350         1.29            1.13            -1.80           2.20            
43      350         -0.04           1.66            -4.70           0.80            
44      350         0.86            0.63            -1.20           1.30            
45      350         1.68            0.50            -0.70           1.80            
46      350         0.77            0.88            -1.80           1.70            
47      350         0.58            0.58            -1.30           1.10            
48      350         1.44            0.69            -1.50           2.00            
49      350         0.56            0.39            -0.30           1.70            
50      350         0.85            1.63            -3.20           1.70            
51      350         0.75            0.76            -1.70           1.90            
52      350         0.67            1.03            -2.20           1.90            
53      350         1.94            0.58            0.40            2.30            
54      350         1.04            0.54            -0.30           1.30            
55      350         1.42            1.09            -0.90           2.00            
56      350         0.14            0.86            -2.10           1.00            
57      350         1.70            1.02            -2.30           2.50            
58      350         1.67            0.36            0.60            2.20            
59      350         1.51            0.26            0.60            1.60            
60      350         0.42            0.18            0.20            0.90            
61      350         0.68            0.45            -0.60           1.30            
62      350         1.16            0.47            -0.20           1.80            
63      350         1.22            0.76            -0.30           1.80            
64      350         1.91            0.62            -0.30           2.10            
65      350         1.66            0.21            0.90            2.10            
66      350         0.54            0.78            -1.50           0.90            
67      350         2.61            1.11            -2.10           3.00            
68      350         1.49            1.08            -1.50           2.70            
69      350         1.80            1.12            -2.30           2.40            
70      350         2.00            0.64            0.30            2.30            
71      350         2.02            0.50            0.40            2.50            
72      350         1.78            1.15            -2.20           2.70            
73      350         1.92            0.74            -0.20           2.50            
74      350         1.05            0.50            -0.70           1.30            
75      350         1.02            0.37            -0.80           1.20            
76      350         2.91            0.49            1.10            3.10            
77      350         1.07            1.10            -2.30           1.60            
78      350         1.53            0.86            -1.50           2.00            
79      350         1.10            1.05            -1.70           1.90            
80      350         1.22            1.11            -1.10           2.50            
81      350         1.24            1.02            -0.80           2.50            
82      350         0.78            1.43            -3.50           1.80            
83      350         0.92            1.08            -3.90           1.30            
